Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Toggle switch","Master power",1,5.85,"https://www.aliexpress.com/item/32858842031.html?spm=a2g0o.cart.0.0.ce2038daeMLIvb&mp=1&pdp_npi=6%40dis%21USD%21USD%205.85%21USD%205.85%21%21USD%205.85%21%21%21%400b1bf20a17758208897181636ebc0f%2166945827851%21ct%21BD%217350065947%21%211%210%21","Aliexpress"
"PCB","circuit board",2,21.70,"https://jlcpcb.com","jlcpcb"
"Enclosure","The casing",1,15.00,"https://souptik.me","@Souptik Samanta"
"Battery","Power",2,14.86,"https://www.aliexpress.com/item/1005011839335152.html?spm=a2g0o.productlist.main.27.21de2554zO7vZb&algo_pvid=b0a665c4-7351-4f6d-882d-14f5350678e1&algo_exp_id=b0a665c4-7351-4f6d-882d-14f5350678e1-26&pdp_ext_f=%7B""order""%3A""3""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2110.98%217.69%21%21%2110.98%217.69%21%40212a6e2917758199983156994e47d0%2112000056746419935%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=83sS6wlnHEGw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011839335152%7C_p_origin_prod%3A","ALiexpress"
"Male headers","connecttion",8,4.33,"https://www.aliexpress.com/item/1005006982030790.html?spm=a2g0o.productlist.main.5.98b51636dQeNFI&algo_pvid=4da84dfb-d33c-4d41-9e2f-99684e590554&algo_exp_id=4da84dfb-d33c-4d41-9e2f-99684e590554-4&pdp_ext_f=%7B""order""%3A""18""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%218.50%214.25%21%21%2157.74%2128.87%21%4021015b7d17758198133254496e6fcd%2112000038931823091%21sea%21BD%217350065947%21X%211%210%21n_tag%3A-29911%3Bd%3A8c992529%3Bm03_new_user%3A-29895&curPageLogUid=ZXq2uumOPfTi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006982030790%7C_p_origin_prod%3A","Aliexpress"
"Female Headers","Mounting",56,6.36,"https://www.aliexpress.com/item/1005003610378386.html?spm=a2g0o.productlist.0.0.2f364115AVui3c&algo_pvid=f9a31d93-c51f-4f11-8fe3-330cb107eb79&aem_p4p_detail=202210131150428849477537658410004134970&algo_exp_id=f9a31d93-c51f-4f11-8fe3-330cb107eb79-3&pdp_ext_f=%7B""sku_id""%3A""12000026598176402""%7D&pdp_npi=2%40dis%21USD%213.78%211.89%21%21%213.51%21%21%400b0a050b16656870426747085e520f%2112000026598176402%21sea&curPageLogUid=YYtKsUgtMgaK&ad_pvid=202210131150428849477537658410004134970_4&aff_fcid=c10bacf749a047a49c2e79173b04c755-1775819158298-05074-_DDqmgbh&tt=CPS_NORMAL&aff_fsk=_DDqmgbh&aff_platform=portals-tool&sk=_DDqmgbh&aff_trace_key=c10bacf749a047a49c2e79173b04c755-1775819158298-05074-_DDqmgbh&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"100nf capacitor","Voltage capacitor",4,1.07,"https://www.aliexpress.com/item/32971478818.html?aff_fcid=eaabf998148e4be2af6060955a159b6c-1775819400658-01655-_DmUGp7T&tt=CPS_NORMAL&aff_fsk=_DmUGp7T&aff_platform=shareComponent-detail&sk=_DmUGp7T&aff_trace_key=eaabf998148e4be2af6060955a159b6c-1775819400658-01655-_DmUGp7T&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"10uf capacitors","VOltage regulations",2,0.93,"https://s.click.aliexpress.com/e/_DBJpcn1","Aliexpress"
"100uf capacitors","Voltage regulation",2,2.06,"https://s.click.aliexpress.com/e/_DBJpcn1","Aliexpress"
"Arduino Nano","MCU",2,8.70,"https://www.aliexpress.com/item/1005002998391675.html?spm=a2g0o.productlist.0.0.67536a9dZI2MQC&algo_pvid=8a579a47-b28d-4809-8f24-f4f324924056&aem_p4p_detail=20221013114133175308655969200003945953&algo_exp_id=8a579a47-b28d-4809-8f24-f4f324924056-3&pdp_ext_f=%7B""sku_id""%3A""12000023140452287""%7D&pdp_npi=2%40dis%21USD%212.8%212.32%21%21%213.58%21%21%402100bb4916656864933156452eb31c%2112000023140452287%21sea&curPageLogUid=DyXptTiiqUV0&ad_pvid=20221013114133175308655969200003945953_4&aff_fcid=18040c62b1ef4ea1aa6b1450d7683430-1775818477087-08872-_DlhwLS3&tt=CPS_NORMAL&aff_fsk=_DlhwLS3&aff_platform=portals-tool&sk=_DlhwLS3&aff_trace_key=18040c62b1ef4ea1aa6b1450d7683430-1775818477087-08872-_DlhwLS3&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"Antenna","Receiver antenna",1,4.75,"https://www.aliexpress.com/item/4001032051571.html?aff_fcid=1c30c350116243b3a38ccb1cec71ace2-1775818292687-07198-_DekKUm9&tt=CPS_NORMAL&aff_fsk=_DekKUm9&aff_platform=shareComponent-detail&sk=_DekKUm9&aff_trace_key=1c30c350116243b3a38ccb1cec71ace2-1775818292687-07198-_DekKUm9&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"Receiver NRF module","Radio transmission",1,5.62,"https://www.aliexpress.com/item/4001032051571.html?aff_fcid=1c30c350116243b3a38ccb1cec71ace2-1775818292687-07198-_DekKUm9&tt=CPS_NORMAL&aff_fsk=_DekKUm9&aff_platform=shareComponent-detail&sk=_DekKUm9&aff_trace_key=1c30c350116243b3a38ccb1cec71ace2-1775818292687-07198-_DekKUm9&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
"LM1117T-3.3 ","Voltage regulation",2,13.44,"https://www.aliexpress.com/item/1005003271197114.html?spm=a2g0o.cart.0.0.ce2038da9mAyK9&mp=1&pdp_npi=6%40dis%21USD%21USD%206.72%21USD%206.72%21%21USD%206.72%21%21%21%402140ec5d17758180833184669e5afc%2112000026644294801%21ct%21BD%217350065947%21%212%210%21","Aliexpress"
"Toggle switch","Channel swapping",2,9.94,"https://www.aliexpress.com/item/1005010352006465.html?spm=a2g0o.cart.0.0.ce2038da9mAyK9&mp=1&pdp_npi=6%40dis%21USD%21USD%2010.14%21USD%204.97%21%21USD%204.97%21%21%21%402140ec5d17758180026763193e5afc%2112000052087737419%21ct%21BD%217350065947%21%211%210%21","Aliexpress"
"PS4 Analogue Joystick (10K","Controlling",2,4.43,"https://www.aliexpress.com/item/1005004705173404.html?spm=a2g0o.detail.1000014.29.5c4e2102tqNqCu&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40000.267768.0&scm_id=1007.40000.267768.0&scm-url=1007.40000.267768.0&pvid=feadb381-70ba-4c48-a847-d47b003173f2&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40000.267768.0%2Cpvid%3Afeadb381-70ba-4c48-a847-d47b003173f2%2Ctpp_buckets%3A668%232846%238113%23651&pdp_ext_f=%7B""sku_id""%3A""12000030167599678""%2C""sceneId""%3A""30050""%7D&pdp_npi=2%40dis%21USD%210.36%210.32%21%21%21%21%21%40211b5deb16670332956835573ee613%2112000030167599678%21rec&aff_fcid=099d3a97aaad4bc0af6e100252bb0337-1775817527711-03734-_DBSn2AB&tt=CPS_NORMAL&aff_fsk=_DBSn2AB&aff_platform=portals-tool&sk=_DBSn2AB&aff_trace_key=099d3a97aaad4bc0af6e100252bb0337-1775817527711-03734-_DBSn2AB&terminal_id=cc9928b8bb934f2f8e701a8f5f461bd1&afSmartRedirect=y","Aliexpress"
